participant_id,activity_date,activity_type,topic,municipality,gender,age_group,role,decision_making_role,event_speaker,coordination_role,responsibility_level,leadership_role
818,2025-01-15,Meeting,Local Government,Yekaterinburg,Male,25-34,Participant,No,Yes,No,Basic,No
1617,2025-01-15,Campaign Activity,Economic Policy,Yekaterinburg,Female,45-54,Organizer,Yes,No,Yes,Leadership,Yes
2200,2025-01-15,Campaign Activity,Local Government,Yekaterinburg,Male,35-44,Coordinator,No,No,Yes,Leadership,Yes
2270,2025-01-15,Meeting,Education,Yekaterinburg,Male,25-34,Participant,No,No,No,Basic,No
2572,2025-01-15,Campaign Activity,Entrepreneurship,Asbest,Male,35-44,Participant,No,No,No,Basic,No
3574,2025-01-15,Community Outreach,Education,Yekaterinburg,Female,18-24,Participant,No,No,No,Basic,No
497,2025-01-16,Community Outreach,Youth Policy,Yekaterinburg,Female,18-24,Participant,No,No,No,Basic,No
1176,2025-01-16,Meeting,Entrepreneurship,Nizhny Tagil,Male,25-34,Participant,Yes,No,No,Basic,No
1233,2025-01-16,Government Interaction,Housing,Yekaterinburg,Female,25-34,Volunteer,No,No,No,Basic,No
2160,2025-01-16,Meeting,Local Government,Yekaterinburg,Female,25-34,Organizer,No,Yes,Yes,Leadership,Yes
2388,2025-01-16,Campaign Activity,Transport,Nizhny Tagil,Female,25-34,Participant,No,Yes,No,Basic,No
2431,2025-01-16,Campaign Activity,Education,Yekaterinburg,Male,45-54,Participant,No,No,No,Basic,No
772,2025-01-17,Meeting,Local Government,Nizhny Tagil,Male,25-34,Volunteer,No,No,No,Basic,No
1587,2025-01-17,Meeting,Local Government,Pervouralsk,Female,25-34,Participant,No,No,No,Basic,No
1960,2025-01-17,Meeting,Local Government,Asbest,Male,25-34,Organizer,Yes,Yes,Yes,Leadership,Yes
2409,2025-01-17,Survey,Gender Equality,Yekaterinburg,Female,25-34,Volunteer,No,No,No,Basic,No
1655,2025-01-18,Survey,Entrepreneurship,Yekaterinburg,Male,45-54,Volunteer,Yes,No,No,Basic,No
2371,2025-01-18,Campaign Activity,Local Government,Yekaterinburg,Female,35-44,Volunteer,No,No,No,Basic,No
2823,2025-01-18,Government Interaction,Healthcare,Kamensk-Uralsky,Female,35-44,Speaker,No,Yes,No,Visible,No
3065,2025-01-18,Public Event,Youth Policy,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No
3120,2025-01-18,Campaign Activity,Healthcare,Yekaterinburg,Female,35-44,Coordinator,No,Yes,Yes,Leadership,Yes
1469,2025-01-19,Public Event,Education,Yekaterinburg,Male,35-44,Coordinator,Yes,No,Yes,Leadership,Yes
1805,2025-01-19,Community Outreach,Economic Policy,Yekaterinburg,Male,55+,Participant,No,No,No,Basic,No
99,2025-01-20,Meeting,Social Policy,Yekaterinburg,Female,45-54,Coordinator,Yes,Yes,Yes,Leadership,Yes
109,2025-01-20,Campaign Activity,Gender Equality,Kamensk-Uralsky,Female,25-34,Volunteer,No,No,No,Basic,No
1644,2025-01-20,Public Event,Education,Asbest,Female,25-34,Participant,No,No,No,Basic,No
2205,2025-01-20,Community Outreach,Social Policy,Yekaterinburg,Female,35-44,Volunteer,No,No,No,Basic,No
2405,2025-01-20,Meeting,Gender Equality,Pervouralsk,Male,25-34,Participant,No,Yes,No,Basic,No
2555,2025-01-20,Campaign Activity,Economic Policy,Nizhny Tagil,Female,35-44,Participant,No,No,No,Basic,No
2822,2025-01-20,Community Outreach,Healthcare,Yekaterinburg,Male,25-34,Participant,No,No,No,Basic,No
332,2025-01-21,Community Outreach,Housing,Yekaterinburg,Female,35-44,Coordinator,Yes,Yes,Yes,Leadership,Yes
660,2025-01-21,Public Event,Healthcare,Yekaterinburg,Female,45-54,Volunteer,No,No,No,Basic,No
1128,2025-01-21,Public Event,Education,Revda,Male,35-44,Participant,No,No,No,Basic,No
1185,2025-01-21,Media Activity,Entrepreneurship,Yekaterinburg,Female,45-54,Organizer,No,No,Yes,Leadership,Yes
1364,2025-01-21,Public Event,Housing,Nizhny Tagil,Female,25-34,Participant,No,No,No,Basic,No
2887,2025-01-21,Public Event,Healthcare,Asbest,Female,18-24,Participant,No,No,No,Basic,No
292,2025-01-22,Government Interaction,Youth Policy,Serov,Female,45-54,Participant,No,No,No,Basic,No
383,2025-01-22,Community Outreach,Education,Yekaterinburg,Male,35-44,Participant,No,No,No,Basic,No
760,2025-01-22,Survey,Local Government,Yekaterinburg,Female,18-24,Participant,No,No,No,Basic,No
1160,2025-01-22,Media Activity,Transport,Nizhny Tagil,Male,25-34,Volunteer,No,No,No,Basic,No
1688,2025-01-22,Community Outreach,Economic Policy,Serov,Male,18-24,Participant,No,No,No,Basic,No
3044,2025-01-22,Campaign Activity,Economic Policy,Yekaterinburg,Female,18-24,Participant,No,No,No,Basic,No
3119,2025-01-22,Community Outreach,Education,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No
811,2025-01-23,Campaign Activity,Housing,Yekaterinburg,Female,45-54,Speaker,No,Yes,No,Visible,No
913,2025-01-23,Educational Event,Education,Serov,Male,45-54,Analyst,Yes,Yes,No,Professional,No
1497,2025-01-23,Government Interaction,Entrepreneurship,Yekaterinburg,Male,45-54,Participant,No,No,No,Basic,No
1554,2025-01-23,Public Event,Entrepreneurship,Yekaterinburg,Female,18-24,Participant,No,No,No,Basic,No
2324,2025-01-23,Public Event,Social Policy,Serov,Female,25-34,Participant,Yes,No,No,Basic,No
3198,2025-01-23,Meeting,Healthcare,Yekaterinburg,Female,35-44,Coordinator,No,Yes,Yes,Leadership,Yes
128,2025-01-24,Public Event,Housing,Pervouralsk,Female,35-44,Participant,No,No,No,Basic,No
178,2025-01-24,Meeting,Youth Policy,Yekaterinburg,Male,18-24,Volunteer,No,No,No,Basic,No
957,2025-01-24,Survey,Education,Nizhny Tagil,Male,35-44,Participant,No,No,No,Basic,No
1301,2025-01-24,Community Outreach,Education,Yekaterinburg,Female,25-34,Speaker,Yes,Yes,No,Visible,No
1836,2025-01-24,Meeting,Local Government,Yekaterinburg,Female,45-54,Speaker,No,Yes,No,Visible,No
1895,2025-01-24,Educational Event,Social Policy,Nizhny Tagil,Female,25-34,Speaker,No,Yes,No,Visible,No
2099,2025-01-24,Educational Event,Housing,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No
2917,2025-01-24,Survey,Housing,Kamensk-Uralsky,Female,35-44,Coordinator,Yes,No,Yes,Leadership,Yes
411,2025-01-25,Public Event,Entrepreneurship,Yekaterinburg,Male,25-34,Organizer,Yes,Yes,Yes,Leadership,Yes
735,2025-01-25,Educational Event,Gender Equality,Yekaterinburg,Female,25-34,Organizer,Yes,No,Yes,Leadership,Yes
841,2025-01-25,Meeting,Youth Policy,Pervouralsk,Female,45-54,Speaker,No,Yes,No,Visible,No
1646,2025-01-25,Government Interaction,Social Policy,Yekaterinburg,Female,35-44,Volunteer,No,No,No,Basic,No
2035,2025-01-25,Meeting,Healthcare,Serov,Female,18-24,Speaker,No,Yes,No,Visible,No
2332,2025-01-25,Public Event,Social Policy,Revda,Female,25-34,Participant,No,No,No,Basic,No
145,2025-01-26,Meeting,Local Government,Yekaterinburg,Male,45-54,Coordinator,Yes,No,Yes,Leadership,Yes
584,2025-01-26,Community Outreach,Social Policy,Kamensk-Uralsky,Female,25-34,Analyst,Yes,Yes,Yes,Professional,No
1627,2025-01-26,Meeting,Healthcare,Yekaterinburg,Female,18-24,Speaker,No,Yes,No,Visible,No
1664,2025-01-26,Educational Event,Local Government,Kamensk-Uralsky,Female,18-24,Participant,No,No,No,Basic,No
2001,2025-01-26,Community Outreach,Local Government,Kamensk-Uralsky,Male,35-44,Coordinator,Yes,Yes,Yes,Leadership,Yes
2372,2025-01-26,Meeting,Local Government,Yekaterinburg,Female,35-44,Participant,No,No,No,Basic,No
2438,2025-01-26,Public Event,Local Government,Yekaterinburg,Male,18-24,Coordinator,Yes,No,Yes,Leadership,Yes
3184,2025-01-26,Meeting,Entrepreneurship,Pervouralsk,Female,25-34,Participant,No,No,No,Basic,No
671,2025-01-27,Media Activity,Transport,Yekaterinburg,Female,25-34,Analyst,No,No,Yes,Professional,No
863,2025-01-27,Campaign Activity,Youth Policy,Yekaterinburg,Male,35-44,Analyst,No,No,No,Professional,No
1216,2025-01-27,Meeting,Local Government,Yekaterinburg,Male,55+,Organizer,Yes,No,Yes,Leadership,Yes
1227,2025-01-27,Meeting,Gender Equality,Nizhny Tagil,Female,25-34,Participant,No,No,No,Basic,No
2605,2025-01-27,Meeting,Transport,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No
3035,2025-01-27,Survey,Youth Policy,Yekaterinburg,Male,45-54,Speaker,Yes,Yes,No,Visible,No
160,2025-01-28,Meeting,Transport,Yekaterinburg,Male,25-34,Participant,No,No,No,Basic,No
251,2025-01-28,Campaign Activity,Youth Policy,Yekaterinburg,Male,35-44,Participant,Yes,No,No,Basic,No
358,2025-01-28,Media Activity,Economic Policy,Pervouralsk,Male,25-34,Participant,No,No,No,Basic,No
385,2025-01-28,Campaign Activity,Healthcare,Yekaterinburg,Female,25-34,Volunteer,Yes,No,No,Basic,No
999,2025-01-28,Campaign Activity,Education,Yekaterinburg,Male,25-34,Speaker,No,Yes,No,Visible,No
1759,2025-01-28,Campaign Activity,Gender Equality,Revda,Male,18-24,Coordinator,Yes,Yes,Yes,Leadership,Yes
1884,2025-01-28,Campaign Activity,Education,Serov,Male,25-34,Volunteer,No,No,No,Basic,No
2729,2025-01-28,Campaign Activity,Youth Policy,Nizhny Tagil,Female,35-44,Analyst,No,No,No,Professional,No
2794,2025-01-28,Meeting,Gender Equality,Yekaterinburg,Male,35-44,Coordinator,Yes,Yes,Yes,Leadership,Yes
3540,2025-01-28,Meeting,Youth Policy,Pervouralsk,Female,55+,Participant,No,No,No,Basic,No
307,2025-01-29,Educational Event,Gender Equality,Serov,Female,45-54,Volunteer,No,No,No,Basic,No
754,2025-01-29,Meeting,Social Policy,Yekaterinburg,Male,35-44,Participant,No,No,No,Basic,No
3123,2025-01-29,Campaign Activity,Housing,Yekaterinburg,Female,45-54,Volunteer,No,No,No,Basic,No
3283,2025-01-29,Campaign Activity,Local Government,Revda,Female,25-34,Analyst,Yes,No,No,Professional,No
3495,2025-01-29,Government Interaction,Social Policy,Pervouralsk,Female,55+,Participant,No,No,No,Basic,No
740,2025-01-30,Educational Event,Social Policy,Pervouralsk,Female,18-24,Participant,No,No,No,Basic,No
1306,2025-01-30,Community Outreach,Youth Policy,Pervouralsk,Male,55+,Participant,No,No,No,Basic,No
1557,2025-01-30,Campaign Activity,Economic Policy,Yekaterinburg,Male,35-44,Participant,No,No,No,Basic,No
1927,2025-01-30,Public Event,Local Government,Yekaterinburg,Female,55+,Volunteer,No,No,No,Basic,No
1965,2025-01-30,Media Activity,Entrepreneurship,Yekaterinburg,Male,35-44,Participant,No,No,No,Basic,No
2482,2025-01-30,Meeting,Transport,Pervouralsk,Female,35-44,Participant,No,No,No,Basic,No
2833,2025-01-30,Meeting,Transport,Pervouralsk,Female,55+,Participant,No,No,No,Basic,No
2879,2025-01-30,Public Event,Healthcare,Yekaterinburg,Male,18-24,Coordinator,Yes,No,Yes,Leadership,Yes
2902,2025-01-30,Campaign Activity,Local Government,Yekaterinburg,Male,55+,Volunteer,No,No,No,Basic,No
3587,2025-01-30,Public Event,Transport,Yekaterinburg,Female,35-44,Participant,No,No,No,Basic,No
1307,2025-01-31,Educational Event,Social Policy,Yekaterinburg,Male,25-34,Participant,No,No,No,Basic,No
1433,2025-01-31,Meeting,Transport,Yekaterinburg,Female,25-34,Volunteer,No,No,No,Basic,No
2433,2025-01-31,Meeting,Gender Equality,Nizhny Tagil,Male,18-24,Speaker,No,Yes,No,Visible,No
2813,2025-01-31,Campaign Activity,Social Policy,Revda,Male,45-54,Participant,No,No,No,Basic,No
3337,2025-01-31,Educational Event,Economic Policy,Yekaterinburg,Male,45-54,Volunteer,No,No,No,Basic,No
367,2025-02-01,Community Outreach,Education,Nizhny Tagil,Male,35-44,Analyst,No,No,No,Professional,No
1338,2025-02-01,Government Interaction,Youth Policy,Revda,Male,25-34,Analyst,No,No,Yes,Professional,No
1352,2025-02-01,Survey,Healthcare,Yekaterinburg,Male,45-54,Participant,No,No,No,Basic,No
1513,2025-02-01,Survey,Local Government,Yekaterinburg,Male,25-34,Participant,No,No,No,Basic,No
1622,2025-02-01,Community Outreach,Social Policy,Yekaterinburg,Male,25-34,Coordinator,Yes,Yes,Yes,Leadership,Yes
1928,2025-02-01,Meeting,Education,Revda,Male,45-54,Volunteer,No,No,No,Basic,No
2162,2025-02-01,Media Activity,Economic Policy,Nizhny Tagil,Female,35-44,Participant,No,No,No,Basic,No
2839,2025-02-01,Educational Event,Entrepreneurship,Pervouralsk,Female,55+,Organizer,Yes,Yes,Yes,Leadership,Yes
2920,2025-02-01,Public Event,Economic Policy,Yekaterinburg,Male,45-54,Participant,No,No,No,Basic,No
3091,2025-02-01,Campaign Activity,Transport,Yekaterinburg,Male,18-24,Organizer,Yes,Yes,Yes,Leadership,Yes
528,2025-02-02,Community Outreach,Social Policy,Yekaterinburg,Male,35-44,Participant,No,No,No,Basic,No
1356,2025-02-02,Public Event,Transport,Nizhny Tagil,Female,35-44,Participant,No,No,No,Basic,No
1568,2025-02-02,Survey,Social Policy,Kamensk-Uralsky,Female,45-54,Participant,No,No,No,Basic,No
1701,2025-02-02,Community Outreach,Social Policy,Kamensk-Uralsky,Male,55+,Participant,No,No,No,Basic,No
2049,2025-02-02,Campaign Activity,Education,Yekaterinburg,Female,45-54,Participant,No,No,No,Basic,No
2113,2025-02-02,Media Activity,Youth Policy,Yekaterinburg,Female,55+,Participant,No,No,No,Basic,No
2258,2025-02-02,Community Outreach,Entrepreneurship,Yekaterinburg,Male,25-34,Volunteer,No,No,No,Basic,No
2712,2025-02-02,Educational Event,Healthcare,Yekaterinburg,Female,45-54,Participant,No,No,No,Basic,No
2735,2025-02-02,Survey,Social Policy,Kamensk-Uralsky,Female,25-34,Participant,No,No,No,Basic,No
2901,2025-02-02,Media Activity,Local Government,Yekaterinburg,Female,35-44,Volunteer,No,No,No,Basic,No
3009,2025-02-02,Meeting,Local Government,Kamensk-Uralsky,Female,25-34,Volunteer,No,No,No,Basic,No
237,2025-02-03,Government Interaction,Housing,Yekaterinburg,Female,55+,Volunteer,No,No,No,Basic,No
648,2025-02-03,Meeting,Healthcare,Yekaterinburg,Male,25-34,Organizer,Yes,No,Yes,Leadership,Yes
659,2025-02-03,Media Activity,Social Policy,Revda,Male,18-24,Participant,No,No,No,Basic,No
975,2025-02-03,Educational Event,Local Government,Pervouralsk,Female,35-44,Volunteer,No,No,No,Basic,No
1223,2025-02-03,Government Interaction,Entrepreneurship,Pervouralsk,Male,25-34,Participant,No,No,No,Basic,No
1427,2025-02-03,Campaign Activity,Economic Policy,Yekaterinburg,Female,35-44,Coordinator,Yes,No,Yes,Leadership,Yes
2508,2025-02-03,Meeting,Social Policy,Yekaterinburg,Male,25-34,Volunteer,No,No,No,Basic,No
3263,2025-02-03,Meeting,Gender Equality,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No
3327,2025-02-03,Public Event,Economic Policy,Pervouralsk,Female,45-54,Volunteer,No,No,No,Basic,No
3427,2025-02-03,Community Outreach,Transport,Pervouralsk,Female,45-54,Participant,No,No,No,Basic,No
3441,2025-02-03,Government Interaction,Economic Policy,Serov,Female,55+,Participant,No,No,No,Basic,No
775,2025-02-04,Community Outreach,Gender Equality,Kamensk-Uralsky,Female,55+,Volunteer,No,No,No,Basic,No
1675,2025-02-04,Campaign Activity,Housing,Revda,Male,25-34,Coordinator,No,Yes,Yes,Leadership,Yes
1888,2025-02-04,Meeting,Local Government,Serov,Female,45-54,Volunteer,No,No,No,Basic,No
2411,2025-02-04,Survey,Social Policy,Yekaterinburg,Male,18-24,Participant,Yes,No,No,Basic,No
2599,2025-02-04,Campaign Activity,Local Government,Nizhny Tagil,Male,18-24,Coordinator,Yes,Yes,Yes,Leadership,Yes
1826,2025-02-05,Community Outreach,Social Policy,Pervouralsk,Female,25-34,Volunteer,No,No,No,Basic,No
