participant_id,activity_date,activity_type,topic,municipality,gender,age_group,role,decision_making_role,event_speaker,coordination_role,responsibility_level,leadership_role,leadership_flag,decision_making_flag,speaker_flag,coordination_flag,year,month,month_name
3439,2025-01-03,Educational Event,Social Policy,Yekaterinburg,Female,25-34,Participant,No,Yes,No,Basic,No,0,0,1,0,2025,1,Jan
850,2025-01-04,Meeting,Economic Policy,Yekaterinburg,Male,18-24,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
1175,2025-01-04,Meeting,Social Policy,Yekaterinburg,Male,45-54,Organizer,Yes,Yes,Yes,Leadership,Yes,1,1,1,1,2025,1,Jan
1250,2025-01-04,Survey,Social Policy,Revda,Male,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2105,2025-01-04,Community Outreach,Entrepreneurship,Serov,Male,25-34,Coordinator,Yes,Yes,Yes,Leadership,Yes,1,1,1,1,2025,1,Jan
2168,2025-01-04,Community Outreach,Youth Policy,Serov,Female,25-34,Participant,No,Yes,No,Basic,No,0,0,1,0,2025,1,Jan
2426,2025-01-04,Educational Event,Gender Equality,Nizhny Tagil,Male,35-44,Speaker,No,Yes,No,Visible,No,0,0,1,0,2025,1,Jan
2763,2025-01-04,Community Outreach,Healthcare,Yekaterinburg,Female,35-44,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2982,2025-01-04,Community Outreach,Youth Policy,Yekaterinburg,Female,25-34,Speaker,No,Yes,No,Visible,No,0,0,1,0,2025,1,Jan
3059,2025-01-04,Survey,Social Policy,Yekaterinburg,Female,35-44,Speaker,No,Yes,No,Visible,No,0,0,1,0,2025,1,Jan
3233,2025-01-04,Public Event,Youth Policy,Yekaterinburg,Male,55+,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
3379,2025-01-04,Survey,Youth Policy,Kamensk-Uralsky,Female,18-24,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
3412,2025-01-04,Media Activity,Education,Kamensk-Uralsky,Female,25-34,Coordinator,Yes,No,Yes,Leadership,Yes,1,1,0,1,2025,1,Jan
1923,2025-01-05,Campaign Activity,Youth Policy,Nizhny Tagil,Male,25-34,Organizer,No,Yes,Yes,Leadership,Yes,1,0,1,1,2025,1,Jan
2636,2025-01-05,Meeting,Healthcare,Yekaterinburg,Female,55+,Speaker,No,Yes,No,Visible,No,0,0,1,0,2025,1,Jan
3326,2025-01-05,Meeting,Entrepreneurship,Yekaterinburg,Male,45-54,Coordinator,No,No,Yes,Leadership,Yes,1,0,0,1,2025,1,Jan
288,2025-01-06,Educational Event,Housing,Yekaterinburg,Female,25-34,Coordinator,Yes,Yes,Yes,Leadership,Yes,1,1,1,1,2025,1,Jan
415,2025-01-06,Community Outreach,Transport,Serov,Female,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
1404,2025-01-06,Meeting,Gender Equality,Pervouralsk,Female,25-34,Volunteer,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2080,2025-01-06,Campaign Activity,Local Government,Nizhny Tagil,Female,35-44,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2142,2025-01-06,Community Outreach,Economic Policy,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2190,2025-01-06,Campaign Activity,Gender Equality,Yekaterinburg,Male,35-44,Volunteer,Yes,No,No,Basic,No,0,1,0,0,2025,1,Jan
2221,2025-01-06,Government Interaction,Entrepreneurship,Yekaterinburg,Female,18-24,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2756,2025-01-06,Community Outreach,Education,Nizhny Tagil,Male,25-34,Participant,Yes,No,No,Basic,No,0,1,0,0,2025,1,Jan
3257,2025-01-06,Public Event,Youth Policy,Nizhny Tagil,Female,45-54,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
3486,2025-01-06,Survey,Housing,Pervouralsk,Male,35-44,Speaker,Yes,Yes,No,Visible,No,0,1,1,0,2025,1,Jan
969,2025-01-07,Community Outreach,Transport,Yekaterinburg,Male,25-34,Volunteer,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
1167,2025-01-07,Government Interaction,Social Policy,Revda,Male,35-44,Organizer,Yes,Yes,Yes,Leadership,Yes,1,1,1,1,2025,1,Jan
1375,2025-01-07,Community Outreach,Local Government,Nizhny Tagil,Male,18-24,Volunteer,Yes,No,Yes,Basic,No,0,1,0,1,2025,1,Jan
1538,2025-01-07,Meeting,Housing,Kamensk-Uralsky,Male,55+,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
1653,2025-01-07,Public Event,Transport,Kamensk-Uralsky,Female,35-44,Volunteer,Yes,No,No,Basic,No,0,1,0,0,2025,1,Jan
1871,2025-01-07,Community Outreach,Housing,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
1999,2025-01-07,Community Outreach,Social Policy,Yekaterinburg,Male,35-44,Coordinator,Yes,Yes,Yes,Leadership,Yes,1,1,1,1,2025,1,Jan
2897,2025-01-07,Campaign Activity,Economic Policy,Yekaterinburg,Male,35-44,Volunteer,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
88,2025-01-08,Media Activity,Entrepreneurship,Kamensk-Uralsky,Female,25-34,Organizer,Yes,No,Yes,Leadership,Yes,1,1,0,1,2025,1,Jan
373,2025-01-08,Community Outreach,Economic Policy,Nizhny Tagil,Female,45-54,Analyst,No,No,No,Professional,No,0,0,0,0,2025,1,Jan
720,2025-01-08,Campaign Activity,Entrepreneurship,Yekaterinburg,Male,18-24,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
723,2025-01-08,Community Outreach,Housing,Yekaterinburg,Female,45-54,Coordinator,No,No,Yes,Leadership,Yes,1,0,0,1,2025,1,Jan
766,2025-01-08,Meeting,Healthcare,Yekaterinburg,Female,25-34,Volunteer,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
1256,2025-01-08,Media Activity,Healthcare,Yekaterinburg,Male,35-44,Participant,Yes,No,No,Basic,No,0,1,0,0,2025,1,Jan
1652,2025-01-08,Meeting,Economic Policy,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
359,2025-01-09,Meeting,Economic Policy,Pervouralsk,Male,55+,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
862,2025-01-09,Campaign Activity,Youth Policy,Yekaterinburg,Male,25-34,Participant,Yes,No,No,Basic,No,0,1,0,0,2025,1,Jan
1361,2025-01-09,Meeting,Healthcare,Kamensk-Uralsky,Male,55+,Organizer,No,Yes,Yes,Leadership,Yes,1,0,1,1,2025,1,Jan
1519,2025-01-09,Meeting,Local Government,Pervouralsk,Female,35-44,Analyst,No,No,No,Professional,No,0,0,0,0,2025,1,Jan
2169,2025-01-09,Campaign Activity,Youth Policy,Nizhny Tagil,Female,25-34,Volunteer,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2335,2025-01-09,Public Event,Local Government,Yekaterinburg,Female,45-54,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2359,2025-01-09,Government Interaction,Local Government,Yekaterinburg,Male,45-54,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
339,2025-01-10,Community Outreach,Social Policy,Yekaterinburg,Female,45-54,Coordinator,Yes,Yes,Yes,Leadership,Yes,1,1,1,1,2025,1,Jan
1359,2025-01-10,Campaign Activity,Youth Policy,Nizhny Tagil,Male,45-54,Coordinator,Yes,Yes,Yes,Leadership,Yes,1,1,1,1,2025,1,Jan
1700,2025-01-10,Meeting,Gender Equality,Serov,Male,35-44,Speaker,No,Yes,No,Visible,No,0,0,1,0,2025,1,Jan
1738,2025-01-10,Government Interaction,Healthcare,Yekaterinburg,Female,45-54,Analyst,No,No,No,Professional,No,0,0,0,0,2025,1,Jan
2504,2025-01-10,Educational Event,Housing,Pervouralsk,Male,18-24,Analyst,No,No,No,Professional,No,0,0,0,0,2025,1,Jan
2751,2025-01-10,Survey,Education,Serov,Female,18-24,Volunteer,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
3008,2025-01-10,Public Event,Local Government,Revda,Female,35-44,Analyst,No,No,No,Professional,No,0,0,0,0,2025,1,Jan
302,2025-01-11,Educational Event,Housing,Yekaterinburg,Female,35-44,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
557,2025-01-11,Educational Event,Local Government,Yekaterinburg,Female,25-34,Volunteer,Yes,No,No,Basic,No,0,1,0,0,2025,1,Jan
866,2025-01-11,Meeting,Entrepreneurship,Yekaterinburg,Male,18-24,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
1592,2025-01-11,Government Interaction,Local Government,Kamensk-Uralsky,Female,45-54,Analyst,No,No,No,Professional,No,0,0,0,0,2025,1,Jan
1746,2025-01-11,Meeting,Education,Yekaterinburg,Male,25-34,Speaker,Yes,Yes,No,Visible,No,0,1,1,0,2025,1,Jan
2193,2025-01-11,Meeting,Entrepreneurship,Pervouralsk,Male,45-54,Speaker,Yes,Yes,No,Visible,No,0,1,1,0,2025,1,Jan
2242,2025-01-11,Campaign Activity,Housing,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2984,2025-01-11,Meeting,Local Government,Yekaterinburg,Male,18-24,Volunteer,No,Yes,Yes,Basic,No,0,0,1,1,2025,1,Jan
3274,2025-01-11,Campaign Activity,Gender Equality,Yekaterinburg,Male,35-44,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
3303,2025-01-11,Government Interaction,Healthcare,Serov,Female,45-54,Volunteer,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
460,2025-01-12,Survey,Social Policy,Asbest,Male,35-44,Volunteer,No,Yes,No,Basic,No,0,0,1,0,2025,1,Jan
823,2025-01-12,Community Outreach,Housing,Yekaterinburg,Female,55+,Coordinator,No,Yes,Yes,Leadership,Yes,1,0,1,1,2025,1,Jan
1632,2025-01-12,Media Activity,Education,Yekaterinburg,Male,25-34,Analyst,No,No,No,Professional,No,0,0,0,0,2025,1,Jan
2336,2025-01-12,Community Outreach,Transport,Yekaterinburg,Male,18-24,Speaker,No,Yes,Yes,Visible,No,0,0,1,1,2025,1,Jan
2456,2025-01-12,Meeting,Education,Yekaterinburg,Male,45-54,Coordinator,Yes,No,Yes,Leadership,Yes,1,1,0,1,2025,1,Jan
389,2025-01-13,Media Activity,Entrepreneurship,Yekaterinburg,Female,35-44,Coordinator,Yes,No,Yes,Leadership,Yes,1,1,0,1,2025,1,Jan
860,2025-01-13,Educational Event,Entrepreneurship,Yekaterinburg,Male,25-34,Organizer,Yes,Yes,Yes,Leadership,Yes,1,1,1,1,2025,1,Jan
2055,2025-01-13,Public Event,Healthcare,Yekaterinburg,Female,18-24,Coordinator,Yes,Yes,Yes,Leadership,Yes,1,1,1,1,2025,1,Jan
2448,2025-01-13,Meeting,Social Policy,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
3001,2025-01-13,Meeting,Economic Policy,Yekaterinburg,Male,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
1318,2025-01-14,Government Interaction,Entrepreneurship,Yekaterinburg,Female,35-44,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
3467,2025-01-14,Government Interaction,Youth Policy,Yekaterinburg,Male,18-24,Coordinator,Yes,No,Yes,Leadership,Yes,1,1,0,1,2025,1,Jan
473,2025-01-15,Campaign Activity,Social Policy,Yekaterinburg,Female,35-44,Coordinator,No,Yes,Yes,Leadership,Yes,1,0,1,1,2025,1,Jan
818,2025-01-15,Meeting,Local Government,Yekaterinburg,Male,25-34,Participant,No,Yes,No,Basic,No,0,0,1,0,2025,1,Jan
1617,2025-01-15,Campaign Activity,Economic Policy,Yekaterinburg,Female,45-54,Organizer,Yes,No,Yes,Leadership,Yes,1,1,0,1,2025,1,Jan
2200,2025-01-15,Campaign Activity,Local Government,Yekaterinburg,Male,35-44,Coordinator,No,No,Yes,Leadership,Yes,1,0,0,1,2025,1,Jan
2270,2025-01-15,Meeting,Education,Yekaterinburg,Male,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2572,2025-01-15,Campaign Activity,Entrepreneurship,Asbest,Male,35-44,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
3574,2025-01-15,Community Outreach,Education,Yekaterinburg,Female,18-24,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
497,2025-01-16,Community Outreach,Youth Policy,Yekaterinburg,Female,18-24,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
1176,2025-01-16,Meeting,Entrepreneurship,Nizhny Tagil,Male,25-34,Participant,Yes,No,No,Basic,No,0,1,0,0,2025,1,Jan
1233,2025-01-16,Government Interaction,Housing,Yekaterinburg,Female,25-34,Volunteer,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2160,2025-01-16,Meeting,Local Government,Yekaterinburg,Female,25-34,Organizer,No,Yes,Yes,Leadership,Yes,1,0,1,1,2025,1,Jan
2388,2025-01-16,Campaign Activity,Transport,Nizhny Tagil,Female,25-34,Participant,No,Yes,No,Basic,No,0,0,1,0,2025,1,Jan
2431,2025-01-16,Campaign Activity,Education,Yekaterinburg,Male,45-54,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
772,2025-01-17,Meeting,Local Government,Nizhny Tagil,Male,25-34,Volunteer,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
1587,2025-01-17,Meeting,Local Government,Pervouralsk,Female,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
1960,2025-01-17,Meeting,Local Government,Asbest,Male,25-34,Organizer,Yes,Yes,Yes,Leadership,Yes,1,1,1,1,2025,1,Jan
2409,2025-01-17,Survey,Gender Equality,Yekaterinburg,Female,25-34,Volunteer,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
1655,2025-01-18,Survey,Entrepreneurship,Yekaterinburg,Male,45-54,Volunteer,Yes,No,No,Basic,No,0,1,0,0,2025,1,Jan
2371,2025-01-18,Campaign Activity,Local Government,Yekaterinburg,Female,35-44,Volunteer,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2823,2025-01-18,Government Interaction,Healthcare,Kamensk-Uralsky,Female,35-44,Speaker,No,Yes,No,Visible,No,0,0,1,0,2025,1,Jan
3065,2025-01-18,Public Event,Youth Policy,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
3120,2025-01-18,Campaign Activity,Healthcare,Yekaterinburg,Female,35-44,Coordinator,No,Yes,Yes,Leadership,Yes,1,0,1,1,2025,1,Jan
1469,2025-01-19,Public Event,Education,Yekaterinburg,Male,35-44,Coordinator,Yes,No,Yes,Leadership,Yes,1,1,0,1,2025,1,Jan
1805,2025-01-19,Community Outreach,Economic Policy,Yekaterinburg,Male,55+,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
99,2025-01-20,Meeting,Social Policy,Yekaterinburg,Female,45-54,Coordinator,Yes,Yes,Yes,Leadership,Yes,1,1,1,1,2025,1,Jan
109,2025-01-20,Campaign Activity,Gender Equality,Kamensk-Uralsky,Female,25-34,Volunteer,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
1644,2025-01-20,Public Event,Education,Asbest,Female,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2205,2025-01-20,Community Outreach,Social Policy,Yekaterinburg,Female,35-44,Volunteer,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2405,2025-01-20,Meeting,Gender Equality,Pervouralsk,Male,25-34,Participant,No,Yes,No,Basic,No,0,0,1,0,2025,1,Jan
2555,2025-01-20,Campaign Activity,Economic Policy,Nizhny Tagil,Female,35-44,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2822,2025-01-20,Community Outreach,Healthcare,Yekaterinburg,Male,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
332,2025-01-21,Community Outreach,Housing,Yekaterinburg,Female,35-44,Coordinator,Yes,Yes,Yes,Leadership,Yes,1,1,1,1,2025,1,Jan
660,2025-01-21,Public Event,Healthcare,Yekaterinburg,Female,45-54,Volunteer,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
1128,2025-01-21,Public Event,Education,Revda,Male,35-44,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
1185,2025-01-21,Media Activity,Entrepreneurship,Yekaterinburg,Female,45-54,Organizer,No,No,Yes,Leadership,Yes,1,0,0,1,2025,1,Jan
1364,2025-01-21,Public Event,Housing,Nizhny Tagil,Female,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2887,2025-01-21,Public Event,Healthcare,Asbest,Female,18-24,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
292,2025-01-22,Government Interaction,Youth Policy,Serov,Female,45-54,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
383,2025-01-22,Community Outreach,Education,Yekaterinburg,Male,35-44,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
760,2025-01-22,Survey,Local Government,Yekaterinburg,Female,18-24,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
1160,2025-01-22,Media Activity,Transport,Nizhny Tagil,Male,25-34,Volunteer,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
1688,2025-01-22,Community Outreach,Economic Policy,Serov,Male,18-24,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
3044,2025-01-22,Campaign Activity,Economic Policy,Yekaterinburg,Female,18-24,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
3119,2025-01-22,Community Outreach,Education,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
811,2025-01-23,Campaign Activity,Housing,Yekaterinburg,Female,45-54,Speaker,No,Yes,No,Visible,No,0,0,1,0,2025,1,Jan
913,2025-01-23,Educational Event,Education,Serov,Male,45-54,Analyst,Yes,Yes,No,Professional,No,0,1,1,0,2025,1,Jan
1497,2025-01-23,Government Interaction,Entrepreneurship,Yekaterinburg,Male,45-54,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
1554,2025-01-23,Public Event,Entrepreneurship,Yekaterinburg,Female,18-24,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2324,2025-01-23,Public Event,Social Policy,Serov,Female,25-34,Participant,Yes,No,No,Basic,No,0,1,0,0,2025,1,Jan
3198,2025-01-23,Meeting,Healthcare,Yekaterinburg,Female,35-44,Coordinator,No,Yes,Yes,Leadership,Yes,1,0,1,1,2025,1,Jan
128,2025-01-24,Public Event,Housing,Pervouralsk,Female,35-44,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
178,2025-01-24,Meeting,Youth Policy,Yekaterinburg,Male,18-24,Volunteer,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
957,2025-01-24,Survey,Education,Nizhny Tagil,Male,35-44,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
1301,2025-01-24,Community Outreach,Education,Yekaterinburg,Female,25-34,Speaker,Yes,Yes,No,Visible,No,0,1,1,0,2025,1,Jan
1836,2025-01-24,Meeting,Local Government,Yekaterinburg,Female,45-54,Speaker,No,Yes,No,Visible,No,0,0,1,0,2025,1,Jan
1895,2025-01-24,Educational Event,Social Policy,Nizhny Tagil,Female,25-34,Speaker,No,Yes,No,Visible,No,0,0,1,0,2025,1,Jan
2099,2025-01-24,Educational Event,Housing,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2917,2025-01-24,Survey,Housing,Kamensk-Uralsky,Female,35-44,Coordinator,Yes,No,Yes,Leadership,Yes,1,1,0,1,2025,1,Jan
411,2025-01-25,Public Event,Entrepreneurship,Yekaterinburg,Male,25-34,Organizer,Yes,Yes,Yes,Leadership,Yes,1,1,1,1,2025,1,Jan
735,2025-01-25,Educational Event,Gender Equality,Yekaterinburg,Female,25-34,Organizer,Yes,No,Yes,Leadership,Yes,1,1,0,1,2025,1,Jan
841,2025-01-25,Meeting,Youth Policy,Pervouralsk,Female,45-54,Speaker,No,Yes,No,Visible,No,0,0,1,0,2025,1,Jan
1646,2025-01-25,Government Interaction,Social Policy,Yekaterinburg,Female,35-44,Volunteer,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2035,2025-01-25,Meeting,Healthcare,Serov,Female,18-24,Speaker,No,Yes,No,Visible,No,0,0,1,0,2025,1,Jan
2332,2025-01-25,Public Event,Social Policy,Revda,Female,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
145,2025-01-26,Meeting,Local Government,Yekaterinburg,Male,45-54,Coordinator,Yes,No,Yes,Leadership,Yes,1,1,0,1,2025,1,Jan
584,2025-01-26,Community Outreach,Social Policy,Kamensk-Uralsky,Female,25-34,Analyst,Yes,Yes,Yes,Professional,No,0,1,1,1,2025,1,Jan
1627,2025-01-26,Meeting,Healthcare,Yekaterinburg,Female,18-24,Speaker,No,Yes,No,Visible,No,0,0,1,0,2025,1,Jan
1664,2025-01-26,Educational Event,Local Government,Kamensk-Uralsky,Female,18-24,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2001,2025-01-26,Community Outreach,Local Government,Kamensk-Uralsky,Male,35-44,Coordinator,Yes,Yes,Yes,Leadership,Yes,1,1,1,1,2025,1,Jan
2372,2025-01-26,Meeting,Local Government,Yekaterinburg,Female,35-44,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2438,2025-01-26,Public Event,Local Government,Yekaterinburg,Male,18-24,Coordinator,Yes,No,Yes,Leadership,Yes,1,1,0,1,2025,1,Jan
3184,2025-01-26,Meeting,Entrepreneurship,Pervouralsk,Female,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
671,2025-01-27,Media Activity,Transport,Yekaterinburg,Female,25-34,Analyst,No,No,Yes,Professional,No,0,0,0,1,2025,1,Jan
863,2025-01-27,Campaign Activity,Youth Policy,Yekaterinburg,Male,35-44,Analyst,No,No,No,Professional,No,0,0,0,0,2025,1,Jan
1216,2025-01-27,Meeting,Local Government,Yekaterinburg,Male,55+,Organizer,Yes,No,Yes,Leadership,Yes,1,1,0,1,2025,1,Jan
1227,2025-01-27,Meeting,Gender Equality,Nizhny Tagil,Female,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2605,2025-01-27,Meeting,Transport,Yekaterinburg,Female,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
3035,2025-01-27,Survey,Youth Policy,Yekaterinburg,Male,45-54,Speaker,Yes,Yes,No,Visible,No,0,1,1,0,2025,1,Jan
160,2025-01-28,Meeting,Transport,Yekaterinburg,Male,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
251,2025-01-28,Campaign Activity,Youth Policy,Yekaterinburg,Male,35-44,Participant,Yes,No,No,Basic,No,0,1,0,0,2025,1,Jan
358,2025-01-28,Media Activity,Economic Policy,Pervouralsk,Male,25-34,Participant,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
385,2025-01-28,Campaign Activity,Healthcare,Yekaterinburg,Female,25-34,Volunteer,Yes,No,No,Basic,No,0,1,0,0,2025,1,Jan
999,2025-01-28,Campaign Activity,Education,Yekaterinburg,Male,25-34,Speaker,No,Yes,No,Visible,No,0,0,1,0,2025,1,Jan
1759,2025-01-28,Campaign Activity,Gender Equality,Revda,Male,18-24,Coordinator,Yes,Yes,Yes,Leadership,Yes,1,1,1,1,2025,1,Jan
1884,2025-01-28,Campaign Activity,Education,Serov,Male,25-34,Volunteer,No,No,No,Basic,No,0,0,0,0,2025,1,Jan
2729,2025-01-28,Campaign Activity,Youth Policy,Nizhny Tagil,Female,35-44,Analyst,No,No,No,Professional,No,0,0,0,0,2025,1,Jan
2794,2025-01-28,Meeting,Gender Equality,Yekaterinburg,Male,35-44,Coordinator,Yes,Yes,Yes,Leadership,Yes,1,1,1,1,2025,1,Jan
